Product,Color,Price,Old_Price,Discount,Rating,Delivery_Method,Image_URL
Fashion Breathable Slip,Grey,GH₵ 103.00,GH₵ 201.00,49%,4 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/638115/1.jpg?7332
Fashion Beach Hole Sandals,Khaki Brown,GH₵ 99.00,GH₵ 167.00,41%,4.1 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/575951/1.jpg?7914
Fashion Casual Canvas Shoes,Gray,GH₵ 85.00 - GH₵ 90.00,GH₵ 141.00 - GH₵ 176.00,50%,3.8 out of 5,Pay On Delivery,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/229413/1.jpg?9462
Fashion Low Top Lace Up Sneakers,Blue,GH₵ 99.00,GH₵ 194.00 - GH₵ 200.00,51%,4 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/702222/1.jpg?4932
Fashion Slip On Casual Sneakers,Khaki/Black,GH₵ 115.00,GH₵ 229.00,50%,4.4 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/364525/1.jpg?6833
Fashion Breathable Glow In The Dark Sneakers,Black,GH₵ 82.00,GH₵ 161.00,49%,4.1 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/444445/1.jpg?6233
Fashion Men Sneakers Casual Classic Running Shoes,White&Black,GH₵ 159.00,GH₵ 219.00,27%,1 out of 5,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/1926721/1.jpg?2861
Flex Athletic Unisex Sneakers,Black,GH₵ 62.00 - GH₵ 65.00,GH₵ 100.00,38%,4.6 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/0120801/1.jpg?9994
Low,Multicolor,GH₵ 100.00,GH₵ 159.00,37%,4.1 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/0982/1.jpg?7616
Fashion Men's Casual Low Top Sneakers,Navy Blue,GH₵ 95.00,GH₵ 190.00,50%,4.3 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/3552701/1.jpg?2883
Fashion Low,Black,GH₵ 69.00,GH₵ 79.00,13%,4.2 out of 5,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/4348111/1.jpg?6768
Fashion Low Top Canvas Shoes,Black,GH₵ 109.00,GH₵ 199.00,45%,3 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/8129601/1.jpg?2592
Fashion Low Top Lace Up Sneakers,Multicolor,GH₵ 99.00,GH₵ 145.00,32%,4 out of 5,Pay On Delivery,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/668522/1.jpg?9254
Fashion Men's Canvas Low Top Sneakers,Blue,GH₵ 105.00,GH₵ 199.00,47%,4.2 out of 5,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/335665/1.jpg?3053
Luxury Design Sneakers,Black,GH₵ 60.00,GH₵ 100.00,40%,4 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/666949/1.jpg?6280
Low,Black,GH₵ 65.00,GH₵ 159.00,59%,4.1 out of 5,Pay On Delivery,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/98427/1.jpg?9982
Athletic Unisex Sneakers,Black,GH₵ 65.00,GH₵ 70.00 - GH₵ 100.00,35%,2 out of 5,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/3879721/1.jpg?0744
Slip On Canvas Sneakers,Black,GH₵ 59.00 - GH₵ 65.00,GH₵ 80.00,26%,3.9 out of 5,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/866803/1.jpg?3810
Low,Black,GH₵ 65.00,GH₵ 120.00,46%,3.7 out of 5,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/8614/1.jpg?3163
On Point Low,Cream,GH₵ 65.00,GH₵ 130.00,50%,3.9 out of 5,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/013522/1.jpg?6999
Simple Fashion Sneakers,Black,GH₵ 49.99,GH₵ 75.60,34%,3.8 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/766949/1.jpg?6278
Classic Running Casual Sneakers,Black,GH₵ 89.00 - GH₵ 99.00,GH₵ 132.00,33%,3.9 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/995311/1.jpg?0625
Fashion Breathable Running High Daddy Shoes,Multicolor,GH₵ 119.00,GH₵ 212.00,44%,3.1 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/4812201/1.jpg?7721
Flangesio Low,White,GH₵ 279.00,GH₵ 547.00,Shipped from abroad,5 out of 5,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/5938901/1.jpg?5948
Thick Soled Sports Casual Shoes,White,GH₵ 119.00,GH₵ 218.00,45%,,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/923404/1.jpg?2310
Men Sneakers casual sports shoes,Black,GH₵ 79.00,GH₵ 119.00,34%,1 out of 5,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/5486621/1.jpg?6975
Flangesio Cushioning Platform Shockproof Comfy Low,Multicolour,GH₵ 358.00,GH₵ 796.00,Shipped from abroad,4.7 out of 5,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/181504/1.jpg?6285
Flangesio All,White,GH₵ 361.00,GH₵ 802.00,Shipped from abroad,5 out of 5,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/6531901/1.jpg?1183
Fashion Business Casual Sneakers,Brown,GH₵ 105.00,GH₵ 199.00,47%,4 out of 5,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/0062701/1.jpg?5480
